Collezione 1,Collezione 2,Collezione 3
0.0444036,0.0587106,0.583343
1.44593,0.798512,0.792961
20386.2,10049.6,10938.7
0.640192,1.14376,1.04621
2.44693,2.63702,2.59299
5.49999,5.98013,5.89431
9.73527,10.0196,9.9203
14.8509,15.0716,15.0851
21.4648,21.4718,21.492
28.805,28.8722,28.844
37.5862,37.6521,37.5834
47.5087,47.4994,47.5042
58.7183,58.6846,58.6958
71.0733,0.9932,0.828012
84.5296,0.593971,0.0442481
10.1428,0.502263,0.205763
0.61113,0.598214,0.0200655
2.48052,0.243094,0.193096
41.6202,0.713717,0.824133
3.18198,0.843496,3.11664
21.4016,0.620488,0.668164
0.0459428,2.53715,2.53722
14.5531,5.28777,5.2987
0.747057,9.63347,9.59878
20.0835,15.4069,15.4311
1.48385,21.1056,21.2045
4.10896,28.7024,1.55963
0.874793,18.1154,0.657291
3.1123,0.720319,2.54905
0.736797,2.34732,6.75007
0.875171,5.5074,0.909098
0.615657,1.92702,0.580618
0.565922,0.532929,0.939785
0.811936,5.6069,2.42569
19.6232,11.9755,5.50009
1.32712,2.09003,9.52517
20.7688,9.8746,18.471
5.38044,0.386078,0.363698
12.5245,5.62624,2.52767
4.53606,0.805916,0.780336
2.90286,9.77067,7.72146
1.3956,4.42958,4.48507
0.00322363,3.29365,1.06383
0.190276,2.5002,2.00941
0.780958,0.445612,0.00621219
2.41493,0.330206,0.0820076
5.31794,0.583611,0.588519
0.484715,0.299938,2.34363
0.60442,0.646412,0.731995
2.44906,2.35916,0.590842
5.32185,0.733519,2.35936
3.06739,0.633583,0.542892
0.643605,0.38145,0.198881
2.78522,0.405411,0.3502
5.63739,0.843653,0.944934
9.93194,0.704484,1.10968
15.129,2.3749,2.24681
21.5652,3.41982,3.53538
2.36099,1.23695,1.31616
0.884392,3.10282,3.31499
2.62827,0.460531,0.490377
5.3996,0.982236,1.09061
9.48541,0.797507,0.899303
14.6965,1.62156,1.81788
0.0629135,0.602398,0.602051
0.609004,1.18784,1.35353
2.36596,0.0241897,0.0340794
5.26888,0.321805,0.257418
0.210292,0.726905,0.7427
0.689685,2.8526,4.14091
2.48297,0.727858,0.696418
5.51461,0.920405,1.07035
283.724,0.584121,0.585055
0.709589,2.34896,2.35641
89.4016,5.29608,5.31053
0.752417,0.142482,1.06889
36.0066,0.605262,0.592414
0.831834,2.36503,2.35842
0.650718,5.30581,5.29721
