Collezione 1,Collezione 2,Collezione 3
0.245663,0.110095,0.105183
0.587544,0.00975681,0.00973675
2.70602,0.810729,0.781499
5.79738,2.61331,2.56387
9.81084,5.60225,5.59516
14.9562,9.62566,9.64349
21.6455,0.4031,15.0815
29.4025,3.72857,16.2469
37.7524,4.07752,3.11797
3.97049,1.39754,1.50443
0.605484,3.2871,3.76364
2.4998,1.04389,0.866982
5.2803,5.17658,4.13243
65.9501,0.578351,0.588019
0.676608,0.250962,1.01119
3.30622,0.590451,0.588217
0.704517,2.31827,2.31193
0.321917,5.233,0.0121704
0.740112,3.2678,0.596375
2.40259,0.583838,2.32812
5.40078,2.34943,1.51017
6.97416,1.73972,0.334113
0.897167,0.0655116,0.101799
1.44994,1.92901,1.2737
4.0826,0.474773,0.327841
10.6247,6.55008,5.10841
1.68751,0.282677,0.27422
3.01749,0.875229,0.577061
2.68598,0.237972,0.211539
8.64839,7.14848,5.7631
2.03389,0.628735,0.61702
1.32052,2.76951,2.2629
1.09703,0.0957275,0.0843193
0.370412,1.46692,0.893842
0.559762,0.665178,0.351395
0.475809,2.081,2.50216
0.608555,0.0945688,0.170814
2.32921,0.0233229,0.582094
1.21236,0.165768,0.821717
0.611501,1.24597,1.80794
0.101319,0.0400833,0.0846571
0.618422,0.6466,0.637914
2.48086,1.31947,1.38495
5.37637,0.582892,0.58208
9.4739,0.0734506,0.0800467
14.7011,0.582175,0.582028
5.54851,2.43109,2.43278
0.942141,5.23404,5.23475
2.34225,0.363581,0.899725
5.23367,0.581498,0.579296
9.35215,2.79968,2.72837
15.2532,6.45297,6.38341
21.1414,9.29554,9.29694
74.0212,14.527,14.525
0.776213,20.9246,0.328145
3.13033,28.5996,0.77135
5.25745,41.0766,2.46723
3.83318,0.611348,5.28543
0.890808,2.47402,1.52001
3.8062,5.482,0.85017
3.85253,9.38586,2.37206
28.55,14.685,5.33413
2.40369,21.0626,9.36328
9.73863,28.6731,14.6307
2.08648,9.21423,21.0948
4.20826,0.613675,28.7095
1.30985,2.44788,7.78663
1.01316,0.165427,6.98882
0.591592,0.932416,1.06781
0.0307328,1.94013,2.0815
0.582063,2.27871,2.46782
0.47938,1.58477,2.34898
0.108478,0.926668,1.11716
0.597916,0.707239,1.03629
0.0688092,0.566805,1.0629
0.147024,0.622934,0.806761
0.754417,0.212034,0.25745
0.586181,0.0486693,0.19073
2.50266,0.0389968,0.0428048
5.23882,0.164678,0.177051
4.25785,0.79722,0.781005
1.01881,0.834392,1.22516
2.77037,1.79424,1.38543
5.44112,2.85479,2.87432
10.0494,4.28955,3.98706
15.2442,0.0606717,0.110755
21.5971,0.859733,0.635045
28.9691,1.25115,1.3588
37.7662,1.95419,1.80729
3.0374,2.79413,2.61157
0.701418,3.68625,3.24271
2.5248,0.0956818,0.0757118
5.2312,0.807389,0.646787
9.30156,0.0119793,0.0054036
0.0834029,0.0973678,0.053948
0.642204,0.600357,0.596887
2.37418,0.496411,0.539637
0.638027,0.590238,0.592543
0.33462,2.34325,2.34211
15.3221,0.499311,0.593913
0.438342,0.0663494,0.0613639
108.282,0.58054,0.580907
0.661461,2.38118,2.37283
7.23398,5.31953,5.32222
0.676125,0.0583206,0.344983
27.97,0.617674,0.610822
0.766801,2.36189,2.36973
2.42911,5.29801,5.30571
5.45465,9.38219,0.023259
9.50641,4.83191,0.596631
14.8371,0.58806,2.3483
23.2289,2.34963,5.28161
0.822507,5.28916,0.963542
2.52953,0.316689,0.574047
5.4515,0.140077,2.34908
9.72896,0.620674,3.27182
6.77921,1.93007,0.380394
8.94347,6.79423,7.14343
1.16974,0.430629,0.356891
1.93971,0.844691,0.360521
2.50784,0.131179,0.0791105
1.0616,4.51019,4.63844
0.00432749,0.079524,0.63277
0.605047,3.43395,4.69546
0.57865,0.362216,0.31729
2.3383,0.664712,0.0673876
2.63215,2.64862,0.37695
0.0312602,0.610625,0.515735
0.663436,0.00679125,0.0537492
2.36941,0.00424033,0.0881237
0.282532,0.0236354,0.00606292
0.778545,0.590615,0.593193
2.35612,0.508322,0.682201
5.23871,0.64925,0.653882
1.00665,1.24789,2.58883
0.699611,0.586778,0.586431
2.38732,2.7702,2.75149
0.310303,5.625,5.67801
2.26616,9.43816,9.37958
24.1161,14.6863,14.683
2.38106,1.41963,4.71882
5.30131,0.581368,0.582385
0.59607,2.46333,2.37728
2.90895,5.30711,5.37992
5.51503,10.0659,9.83873
31.1329,15.7456,1.10337
1.06435,11.3118,0.773079
25.0389,10.901,2.46907
11.1581,2.04467,5.35378
27.4018,17.5346,8.46468
8.22024,1.59123,0.40236
8.63217,11.5755,7.69778
11.5252,10.0102,8.15584
0.13988,2.44315,0.832181
0.998382,2.55312,0.757029
0.726424,0.650973,0.650418
2.63667,2.34625,2.35899
5.40721,4.1362,4.96021
9.5553,0.641286,0.714397
0.579342,0.405626,1.33706
0.813553,1.09762,2.44388
2.38208,0.198515,0.700956
5.58796,0.484961,1.16468
9.54715,0.243312,0.831487
0.937254,0.671322,0.157596
1.02656,0.494816,0.406258
3.03154,0.278506,0.50639
5.98737,1.76428,2.86565
9.75778,1.35278,2.22349
14.9946,0.585221,1.04134
21.1447,1.20337,1.72173
28.7928,0.553665,0.871019
0.378149,0.977489,1.22112
0.605508,0.00308369,0.0386959
2.34205,0.0369872,0.0553135
5.23049,0.599633,0.0249
2.07087,1.11037,0.239966
0.711712,0.156229,0.192329
2.35009,1.44219,1.50389
5.23721,0.581781,0.583287
4.51323,2.37909,2.379
177.674,5.26371,5.27522
0.223541,3.79053,4.73267
