Collezione 1,Collezione 2,Collezione 3
2.58045,1.79287,1.70413
2.36433,1.89862,1.80108
5.07296,3.52229,3.44932
6.97067,6.42227,6.35357
10.0715,10.7616,10.6349
14.9918,15.7092,15.6666
20.9929,22.251,22.294
7.99945,29.1485,29.1776
19.8749,23.7797,88.3846
0.661309,3.55037,3.46244
4.32941,2.1738,1.69023
3.74756,0.138472,0.0494511
23.3359,10.9233,9.15551
6.6412,0.61365,0.621876
14.2474,8.04743,9.35573
10.9216,2.7914,2.74812
10.7196,8.06795,8.36367
10.4711,7.8693,9.28995
11.9511,13.3606,14.5033
10.2629,13.0325,13.6569
10.157,7.65501,8.72795
9.70927,7.40783,8.45192
12.0376,6.55734,7.45601
10.8864,7.59141,8.44723
9.26414,7.39993,8.22463
8.54473,8.04916,8.84028
11.3936,7.66962,8.37161
3.49062,9.86578,10.5836
1.6772,10.1494,10.864
2.37276,12.4232,13.1475
5.80265,16.8985,17.8634
11.791,19.6718,20.6487
19.7435,19.9648,20.8507
30.2477,22.7465,23.3649
43.1686,24.8185,25.2476
56.0627,26.9498,27.0499
25.507,28.116,27.9869
26.5628,28.4834,28.1548
31.8869,29.9603,29.3749
34.5428,28.4672,27.4062
29.509,27.4918,26.9597
29.2449,27.5764,26.8996
29.0765,24.7462,29.0203
28.4815,23.836,26.4939
27.5722,24.5934,22.1707
26.2792,21.3052,22.6433
27.5208,21.8986,25.4018
24.5078,21.4396,22.5682
72.914,22.7135,17.6632
21.1097,16.0657,17.8293
31.2227,14.7827,19.1861
16.5741,15.4676,12.9391
100.832,17.2834,12.419
13.5445,20.8088,13.6778
14.002,11.0898,15.8401
11.6548,11.1937,19.8693
10.4665,12.1438,13.2299
9.28508,10.8641,11.1181
9.8931,11.1672,13.1736
11.208,14.2395,17.2677
22.593,17.7936,15.6075
4.1434,17.6807,14.06
12.599,15.6267,15.6484
1.75019,19.463,19.2451
2.73749,23.8086,20.463
5.3204,21.3929,20.6629
9.37458,26.6246,26.3144
14.8052,27.2571,26.6778
21.7811,31.807,32.0046
35.7758,31.6243,30.1084
1.89094,33.1115,32.4519
1.85685,34.8119,33.6572
3.32721,37.8954,37.2793
2.91119,38.7306,37.0599
3.31295,42.1891,41.4322
2.78918,42.5748,41.817
3.11112,43.5326,41.8364
1.84521,42.0257,40.8491
1.65825,42.5742,41.5916
3.01834,42.1031,38.9152
5.5533,44.4955,43.5725
9.52492,38.13,37.338
46.7069,32.4032,31.1205
0.612003,29.5809,28.8339
14.5776,30.3918,30.2011
0.3619,29.9287,29.7279
16.6886,31.2644,31.0433
0.910893,35.2779,15.3028
9.44488,12.8915,13.2438
0.255813,11.5093,13.0607
4.34322,9.99042,14.4244
0.60241,8.74423,17.1007
4.71905,16.6185,21.8483
0.58314,6.00069,29.4628
5.58495,14.3587,8.21372
0.596606,4.24776,3.94049
6.62589,9.63986,8.89327
1.98404,1.92072,1.85456
8.87958,7.47414,7.42274
5.77608,1.11672,0.943814
8.68862,6.50019,6.78205
8.07349,4.31779,5.28259
12.7582,6.96299,8.19966
16.1845,13.0325,14.1257
10.8823,4.27889,5.31698
9.19855,5.02496,6.13167
8.93769,3.8626,4.9907
9.70089,5.32596,6.51875
12.4369,7.84709,9.23807
7.45933,4.78881,8.30023
6.00814,2.51191,3.66453
6.05274,4.68358,5.84315
8.2729,7.402,8.48981
10.7197,6.1611,7.11548
15.3826,4.18361,5.10408
3.12825,6.66942,7.1499
1.15541,8.88829,9.80652
4.39921,13.5439,14.0712
9.03088,13.8647,15.1583
16.511,17.6064,19.9688
26.4833,18.1461,18.1298
36.4124,19.6465,18.7755
47.9606,19.2183,18.558
