Collezione 1,Collezione 2,Collezione 3
4.38171,30.7925,33.5144
4.6435,28.2355,29.6659
857692,2375.58,2180.33
15802.4,19235.8,20789.1
77860,12987,13056.5
100171,11861.7,11906.8
99855.6,11373,11393.4
8821.92,11035.2,11041.2
8967.26,10811.1,10815.5
9131.6,10637.9,10647.6
9188.5,10523.5,10526.8
9261.96,10467,10453.7
9285.41,10361.2,10357.9
9361.01,10330.9,10338.2
9325.83,10209.4,10223.4
9339.18,10128.8,10145.9
9283.98,9995.48,10021.4
9223.17,9868.91,9905.64
9206.43,9758.28,9804.71
9140.19,9637.57,9690.59
9078.04,9478.46,9563.65
9048.88,9257.33,9337.86
8990.97,9170.48,9269.53
8930.71,9066.35,9182.93
8911.13,9002.31,9130.41
8869.29,8951.59,9090.2
8867.77,8880.81,9026.73
8877.95,8842.76,8997.64
8855.2,8752.94,8908.52
8820.7,8680.71,8831.92
8848.15,8614.07,8759.2
8866.78,8545.66,8691.86
8883.57,8503.15,8632.37
8836.54,8435.87,8548.4
8903.64,8438.55,8539.44
9145.01,8415.77,8511.96
8987.92,8430.16,8507.47
9032.96,8446.44,8508.2
9113.58,8461.85,8508.09
9181.22,8513.9,8548.63
9260.85,8482.77,8502.75
9353.07,8455.71,8462.64
9453.85,8430.44,8429.42
9510.78,8468.05,8451.34
9646.23,8401.76,8387.05
9884.11,8346.3,8332.07
9874.13,8302.18,8290.46
10003.2,8249.7,8232.85
10125.5,8239.67,8232.01
10286.3,8218.1,8221.62
10350,8218.09,8223.28
10413.9,8238.12,8236.18
10459.2,8213.5,8221.53
10545.9,8232.6,8253.07
10536.6,8190.08,8212.55
10499.6,8180.37,8196.36
10510.8,8137.54,8162.2
10537.5,8110.17,8148.97
10534.2,8076.94,8113.24
10551.9,8035.25,8060.84
10531.2,8029.09,8061.83
10540.9,8031.56,8077.34
10488.3,8031.56,8071.97
10441.4,7989.59,8021.17
10394.3,8039.31,8075.6
10304.7,8031.89,8101
10315.8,8095.61,8134.56
10346.8,8151.05,8175.81
10335.8,8194.98,8184.28
10395.2,8191.56,8145.83
10298,8254.74,8210.9
10123.1,8264.07,8201.08
10118.1,8348.59,8294.82
10113.4,8423.55,8388.92
10111.1,8490.47,8457.61
9949.57,8592.05,8559.88
10078.6,8597.71,8565.99
10276.5,8603.5,8569.91
10322.7,8614.38,8582.49
10540.7,8545.45,8570.86
10414.4,8576.7,8585.49
10373.1,8636.48,8629.8
10170.5,8630.37,8610.39
9914.79,8589.37,8548.36
9802.33,8626.16,8585.18
9530.52,8577.39,8533.26
9572.48,8683.14,8621.62
9612.43,8741.73,8694.14
9621.56,8845.29,8808.9
9693.48,8950.5,8926.31
9633.64,9035.44,9022.69
9595.42,9166.42,9171.81
9536.01,9191.38,9196.66
9485.26,9220.39,9243.04
9437.71,9233.54,9258.37
9276.55,9243.82,9260.27
9362.66,9259.95,9285.4
9387.5,9251.8,9297.44
9495.42,9294.99,9338.75
9552.62,9304.41,9342.87
9702.56,9382.94,9425.91
9860.59,9446.55,9499.31
9971.17,9542.42,9589.98
10037.2,9643.42,9678.12
10228.7,9725.39,9757.81
10382.6,9772.96,9813.96
10591.7,9868.03,9894.58
10808.2,9953.92,9962.62
10951.2,10037.2,10036
11112.8,10132.8,10131.2
11170.5,10170.4,10152.2
11212.7,10205.3,10172
11210.9,10231.6,10186.6
11250.1,10224.7,10176.2
11224.9,10274,10210.9
11209.7,10316.8,10234.5
11197.3,10352.8,10267.6
11240.4,10420.5,10328.3
11178.9,10407.7,10319.1
11254.6,10460.1,10358.9
11090.4,10392.2,10309.4
11140.8,10351.2,10284.5
10951.7,10290.5,10234.4
10965.1,10236.8,10176.4
10828.4,10194.8,10146.9
10791.2,10110.8,10079.6
10683.8,10123.4,10110.7
10613.6,10100,10089.7
10512.8,10156.9,10153.4
10433.3,10209.2,10223
10320.7,10249.4,10257.8
10234.2,10274.4,10275.3
10126.6,10318.4,10320.9
10019.6,10364.3,10374.4
9939.14,10388.7,10393.6
9837.21,10397.9,10397
9790.07,10430.5,10427.1
9725.71,10448.2,10454.3
9698.54,10484,10476.9
9659.26,10504.6,10489
9646.55,10537.7,10510.7
9626.94,10569.1,10529.6
9626.74,10591.2,10546.5
9611.37,10607.6,10562.8
9623.68,10634.6,10581.7
9619.79,10632.5,10574
9658.14,10644.2,10579
9690.11,10656.1,10584.3
9726.96,10643.7,10574.5
9761.85,10660.4,10595.1
9806.05,10625,10558.4
9836.66,10700.8,10606.2
9892.54,10584.6,10516.6
9947.59,10498.9,10461.7
9985.41,10422.3,10384.1
10010.4,10416.6,10374
10060.2,10294.4,10275.6
10125.5,10172.1,10190.8
10163.5,10117,10122.9
10367.9,10013.6,10010.6
10270.3,10032.5,9997.59
10215.3,10061.6,9994.8
10130.5,10064.2,9997.06
10031.2,10074.7,10026.5
9965.85,10036.8,9998.13
9781.75,10080.9,10027
9847.54,10006.5,9961.24
9876.09,9912.5,9846.47
9982.53,9881.33,9832.42
10120.2,9868.57,9839.54
10204.2,9829.81,9786.48
10330.9,9826.08,9778.36
10400.4,9783.19,9740.84
10509.6,9823.03,9786.96
10533.6,9705.04,9670.13
10590.9,9616.56,9580.15
10587.7,9496.58,9458.4
10594.5,9378.89,9330.4
10583.7,9276.4,9230.18
10580.8,9119.5,9075.52
10563.1,9089.14,9044.4
10556.8,8999.54,8952.28
10536.6,9020.92,8974.89
10554.9,9039.44,8995.4
10500.4,9053.93,9011.62
10477.4,9102.27,9057.49
10405.7,9083.64,9036.43
10373,9092.77,9049.24
10268.1,9043.99,8997.52
10216.1,9060.15,9010.27
10081,8954.59,8904.78
9950.32,8856.4,8809.97
9817.21,8773.32,8723.82
9700.13,8675.16,8619.42
9577.28,8638.24,8585
9464.66,8593.9,8543.14
9340.36,8570.89,8521.3
9242.4,8560.33,8508.09
9168.94,8536.19,8488.65
9100.78,8514.01,8472.98
9060.34,8500.09,8460.14
9025.11,8507.62,8464.54
8985.81,8476.99,8439.43
8924.78,8438.33,8409.4
8945.51,8431.18,8401.87
8928.37,8397.94,8366.78
8975.15,8420.49,8392.86
9036.96,8425.89,8405.5
9049.3,8455.36,8433.5
9426.69,8483.12,8459.68
9140.1,8504.74,8481.46
9201.68,8533.17,8503.25
9285.5,8545.12,8517.15
9351,8570.97,8545.29
9440.13,8566.88,8541.39
9515.05,8569.35,8539.23
9608.45,8564.58,8539.11
9674.9,8582.8,8565.3
9776.52,8547.22,8529.32
9864.1,8581.73,8553.53
9948.66,8496,8473.08
10081.4,8451.69,8435.7
10179.3,8371.17,8355.39
10308.1,8308.02,8287.09
10354.4,8261.49,8249.02
10427.6,8213.89,8215.85
10431.7,8192.67,8190.3
10436.5,8189.12,8179.39
10436.1,8164.07,8156.83
10440.8,8144.44,8142.78
10436,8129.57,8124.83
10445,8118.35,8105.94
10428,8111.67,8104.02
10427.4,8085.73,8084.38
10400.1,8101.63,8102.06
10414.4,8054.2,8045.13
10343.8,8134.33,8138.3
10241.1,8159.79,8178.4
10210.7,8258.73,8280.91
10228.2,8323,8354.21
10156.2,8408.91,8439.27
9999.5,8497.81,8545.71
10003.7,8534.28,8563.73
9975.1,8573.68,8558.15
10040.4,8567.2,8552.72
10073.7,8514,8515.24
10176,8566.97,8547.71
10491.8,8574.96,8503.47
10374.9,8635.71,8584.43
10316,8775.33,8750.33
10144.4,8747.4,8732.17
9965.18,8721.48,8715.92
9830.58,8692.64,8683.96
9617.62,8600.54,8622.44
9570.75,8632.69,8660.1
9381.12,8583.18,8637.85
9463.32,8686.61,8716.74
9593.77,8751.99,8758.61
9587.06,8854.25,8859.42
9621.78,8969.31,8976.29
9578.27,9048.15,9045.18
9556.59,9145.82,9123.1
9481.52,9178.52,9155.54
9380.91,9236.36,9222.07
9369.48,9237.02,9222.87
9308.84,9226.41,9214.04
9341.53,9237.15,9219.22
9303.36,9226.27,9212.67
9393.01,9256.79,9229.48
9443.52,9252.81,9213.23
9549.18,9317.29,9263.98
9588.14,9343.94,9274.56
9755.8,9447.54,9365.38
9940.7,9537.16,9435.38
10090.5,9660.83,9553.03
10162.1,9785.52,9673.52
10352,9891.21,9776.15
10532.8,9989.63,9871.52
10703.4,10071.5,9956.53
10887.6,10145.5,10034.9
10987.2,10202.4,10098.9
11096.1,10260.4,10164.5
11145.7,10296,10204.8
11207.5,10352.6,10269.1
11179.2,10346.2,10267.1
11157.1,10320,10247.4
11146.9,10339.7,10264.4
11169.3,10358.3,10277.1
11132.8,10364.8,10291.1
11131.4,10387,10317.7
11084,10382.7,10318.2
11133.2,10414.9,10349.7
11010.6,10373.7,10317.3
11118.1,10353.7,10303.9
10917.5,10307.8,10266.5
10935.3,10268.6,10229.3
10808.9,10239.5,10207.4
10801.7,10179.9,10155.4
10694.4,10188.6,10177.4
10610.9,10183.3,10179.9
10529.5,10213.7,10210.2
10470.9,10234.8,10230.5
10386.8,10264.1,10262.5
10313.4,10272.9,10280.9
10208.2,10305.8,10312.9
10106.3,10323.2,10328.6
10037.9,10363.8,10370.9
9960.36,10368.3,10380.2
9903.74,10417.9,10424.6
9810.78,10447.8,10446.3
9787.81,10496.6,10496.4
9778.19,10540.5,10543.6
9754.49,10569.7,10573.3
9708.03,10592.2,10589.5
9706.64,10607.2,10607.8
9716.6,10624.9,10630.2
9703.08,10647.1,10651.5
9681.14,10665.2,10673.9
9679.86,10672.1,10681.4
9666.83,10664,10674.5
9670.18,10672.4,10681.8
9623.39,10810.2,10812.4
9681.41,10676.4,10689
9720.55,10591.1,10604.4
9783.08,10490.7,10502.1
9856.8,10427.1,10431.1
9916.17,10338.7,10349.9
10036.8,10291.3,10306.7
10036.5,10208.5,10211.3
10191.3,10047.9,10056.4
10076.2,10082.3,10088.4
9947.69,10255.4,10111.1
9854.62,10076,10131.3
9688.15,10168.1,10245.5
9686.7,10091.9,10169.2
9531.11,10019,10069.7
9674.52,9945.79,9998.34
9808.5,9889.17,9928.92
9962.75,9821.02,9873.09
10146.9,9831.81,9879.27
10280.3,9711.01,9756.75
10480.3,9647.27,9693.04
10551.4,9507.75,9554.13
10693,9379.89,9418.07
10679.4,9266.31,9314.66
10710.1,9067.06,9135.33
10655.9,9068.79,9126.49
10602.7,9030.67,9089.99
10560.9,9049.81,9092.64
10555.1,9094.19,9106.24
10481.1,9088.58,9098.84
10413.1,9099.56,9113.17
10349.4,9073.77,9084.48
