time,vx,vy,vz,ax,ay,az,gx,gy,gz
0.0,0.375,-0.375,1.0,-0.031338045167417894,0.016579785438930503,-0.01240379842575301,<__main__.signalArr object at 0x706af0d1e580>,<__main__.signalArr object at 0x706af0d1e530>,<__main__.signalArr object at 0x706af0d1e670>
0.023328512,-0.0625,-0.125,0.625,-0.04133803563067473,0.03658024320260238,-0.01240379842575301,<__main__.signalArr object at 0x706af0d1e580>,<__main__.signalArr object at 0x706af0d1e530>,<__main__.signalArr object at 0x706af0d1e670>
0.047147264,-0.0625,-0.125,0.5625,-0.1013380976195053,0.03658024320260238,-0.01240379842575301,<__main__.signalArr object at 0x706af0d1e580>,<__main__.signalArr object at 0x706af0d1e530>,<__main__.signalArr object at 0x706af0d1e670>
0.058537216,-0.25,0.0,0.25,-0.11133808808276213,0.03658024320260238,0.007596420919339764,<__main__.signalArr object at 0x706af0d1e580>,<__main__.signalArr object at 0x706af0d1e530>,<__main__.signalArr object at 0x706af0d1e670>
0.08312064,0.1875,0.125,-0.1875,-0.18133808093020476,0.02658001432076644,0.007596420919339764,<__main__.signalArr object at 0x706af0d1e580>,<__main__.signalArr object at 0x706af0d1e530>,<__main__.signalArr object at 0x706af0d1e670>
0.100476416,0.875,0.1875,-0.3125,-0.21133811192462004,0.016579785438930503,-0.0024035695439170723,<__main__.signalArr object at 0x706af0d1e580>,<__main__.signalArr object at 0x706af0d1e530>,<__main__.signalArr object at 0x706af0d1e670>
0.12425088,1.4375,0.4375,-0.3125,-0.21133811192462004,0.016579785438930503,-0.01240379842575301,<__main__.signalArr object at 0x706af0d1e580>,<__main__.signalArr object at 0x706af0d1e530>,<__main__.signalArr object at 0x706af0d1e670>
0.151547136,1.9375,0.25,-0.1875,-0.21133811192462004,0.016579785438930503,-0.01240379842575301,<__main__.signalArr object at 0x706af0d1e580>,<__main__.signalArr object at 0x706af0d1e530>,<__main__.signalArr object at 0x706af0d1e670>
0.174402816,2.625,0.25,0.1875,-0.1913380713934617,0.02658001432076644,-0.002403807962496174,<__main__.signalArr object at 0x706af0d1e580>,<__main__.signalArr object at 0x706af0d1e530>,<__main__.signalArr object at 0x706af0d1e670>
0.200073984,2.375,0.0,0.1875,-0.1613381000036911,0.02658001432076644,-0.002403807962496174,<__main__.signalArr object at 0x706af0d1e580>,<__main__.signalArr object at 0x706af0d1e530>,<__main__.signalArr object at 0x706af0d1e670>
0.223072256,2.375,0.1875,0.1875,-0.15133810954043425,0.02658001432076644,-0.03240377935226668,<__main__.signalArr object at 0x706af0d1e580>,<__main__.signalArr object at 0x706af0d1e530>,<__main__.signalArr object at 0x706af0d1e670>
0.242400256,2.4375,0.3125,0.125,-0.11133808808276213,0.016579785438930503,-0.03240377935226668,<__main__.signalArr object at 0x706af0d1e580>,<__main__.signalArr object at 0x706af0d1e530>,<__main__.signalArr object at 0x706af0d1e670>
0.258421504,2.375,0.0625,0.0625,-0.1013380976195053,0.006579556557094565,-0.03240377935226668,<__main__.signalArr object at 0x706af0d1e580>,<__main__.signalArr object at 0x706af0d1e530>,<__main__.signalArr object at 0x706af0d1e670>
0.263391488,1.9375,0.1875,-0.125,-0.1013380976195053,0.006579556557094565,-0.02240378888901029,<__main__.signalArr object at 0x706af0d1e580>,<__main__.signalArr object at 0x706af0d1e530>,<__main__.signalArr object at 0x706af0d1e670>
0.277061376,1.3125,0.3125,-0.1875,-0.061338135766478175,0.006579556557094565,-0.032403779352267126,<__main__.signalArr object at 0x706af0d1e580>,<__main__.signalArr object at 0x706af0d1e530>,<__main__.signalArr object at 0x706af0d1e670>
0.29796224,1.0625,0.1875,-0.4375,-0.061338135766478175,0.006580510231409195,-0.02240378888901029,<__main__.signalArr object at 0x706af0d1e580>,<__main__.signalArr object at 0x706af0d1e530>,<__main__.signalArr object at 0x706af0d1e670>
0.32185984,0.1875,0.3125,-0.375,-0.08133811669299162,0.006580510231409195,-0.032403779352267126,<__main__.signalArr object at 0x706af0d1e580>,<__main__.signalArr object at 0x706af0d1e530>,<__main__.signalArr object at 0x706af0d1e670>
0.33937152,0.1875,0.375,-0.5625,-0.09133810715624846,-0.013418993857946274,-0.04240376981552396,<__main__.signalArr object at 0x706af0d1e580>,<__main__.signalArr object at 0x706af0d1e530>,<__main__.signalArr object at 0x706af0d1e670>
0.36497152,-0.5,0.3125,-0.5625,-0.09133810715624846,-0.013418993857946274,-0.04240376981552396,<__main__.signalArr object at 0x706af0d1e580>,<__main__.signalArr object at 0x706af0d1e530>,<__main__.signalArr object at 0x706af0d1e670>
0.377067264,-0.8125,0.1875,-0.4375,-0.09133810715624846,-0.0034197186504267424,-0.012403798425753454,<__main__.signalArr object at 0x706af0d1e580>,<__main__.signalArr object at 0x706af0d1e530>,<__main__.signalArr object at 0x706af0d1e670>
0.402300928,-1.0,0.0,-0.5,-0.09133810715624846,0.006580510231409195,-0.002403807962496618,<__main__.signalArr object at 0x706af0d1e580>,<__main__.signalArr object at 0x706af0d1e530>,<__main__.signalArr object at 0x706af0d1e670>
0.421065472,-1.125,0.25,-0.5625,-0.11133808808276202,0.006580510231409195,0.007596182500760218,<__main__.signalArr object at 0x706af0d1e580>,<__main__.signalArr object at 0x706af0d1e530>,<__main__.signalArr object at 0x706af0d1e670>
0.43829376,-0.8125,0.4375,-0.6875,-0.13133812861392047,-0.0034197186504267424,0.007596182500760218,<__main__.signalArr object at 0x706af0d1e580>,<__main__.signalArr object at 0x706af0d1e530>,<__main__.signalArr object at 0x706af0d1e670>
0.464331776,-0.6875,0.5,-0.75,-0.13133812861392047,-0.0034197186504267424,0.027596401845852978,<__main__.signalArr object at 0x706af0d1e580>,<__main__.signalArr object at 0x706af0d1e530>,<__main__.signalArr object at 0x706af0d1e670>
0.482208768,-0.6875,0.1875,-0.875,-0.13133812861392047,-0.0034197186504267424,0.007596182500760218,<__main__.signalArr object at 0x706af0d1e580>,<__main__.signalArr object at 0x706af0d1e530>,<__main__.signalArr object at 0x706af0d1e670>
0.501266944,-0.4375,0.125,-0.8125,-0.1013380976195053,0.006580510231409195,0.007596182500760218,<__main__.signalArr object at 0x706af0d1e580>,<__main__.signalArr object at 0x706af0d1e530>,<__main__.signalArr object at 0x706af0d1e670>
0.522181632,0.125,0.4375,-0.8125,-0.08133811669299162,0.006580510231409195,0.007596182500760218,<__main__.signalArr object at 0x706af0d1e580>,<__main__.signalArr object at 0x706af0d1e530>,<__main__.signalArr object at 0x706af0d1e670>
0.54702592,0.375,0.375,-0.6875,-0.08133811669299162,0.006580510231409195,-0.012403798425753454,<__main__.signalArr object at 0x706af0d1e580>,<__main__.signalArr object at 0x706af0d1e530>,<__main__.signalArr object at 0x706af0d1e670>
0.572116992,0.625,0.375,-0.5625,-0.061338135766478175,0.016580739113245133,0.007596182500760218,<__main__.signalArr object at 0x706af0d1e580>,<__main__.signalArr object at 0x706af0d1e530>,<__main__.signalArr object at 0x706af0d1e670>
0.577210112,0.5,0.3125,-0.625,-0.05133814530322112,0.016580739113245133,0.007596182500760218,<__main__.signalArr object at 0x706af0d1e580>,<__main__.signalArr object at 0x706af0d1e530>,<__main__.signalArr object at 0x706af0d1e670>
0.598452736,0.8125,0.3125,-0.625,-0.031338045167417894,0.006580510231409195,0.01759641138259614,<__main__.signalArr object at 0x706af0d1e580>,<__main__.signalArr object at 0x706af0d1e530>,<__main__.signalArr object at 0x706af0d1e670>
0.624161792,0.9375,0.3125,-0.6875,-0.0013380737776473861,-0.0034197186504267424,0.057596373235623485,<__main__.signalArr object at 0x706af0d1e580>,<__main__.signalArr object at 0x706af0d1e530>,<__main__.signalArr object at 0x706af0d1e670>
0.64215808,1.1875,0.25,-0.375,-0.0013380737776473861,-0.0034197186504267424,0.057596373235623485,<__main__.signalArr object at 0x706af0d1e580>,<__main__.signalArr object at 0x706af0d1e530>,<__main__.signalArr object at 0x706af0d1e670>
0.677170176,1.0,0.4375,-0.3125,-0.0013380737776473861,-0.0034197186504267424,0.03759639230911026,<__main__.signalArr object at 0x706af0d1e580>,<__main__.signalArr object at 0x706af0d1e530>,<__main__.signalArr object at 0x706af0d1e670>
0.689063424,0.9375,0.5,-0.3125,0.018661907148866286,-0.013418993857946274,0.03759639230911026,<__main__.signalArr object at 0x706af0d1e580>,<__main__.signalArr object at 0x706af0d1e530>,<__main__.signalArr object at 0x706af0d1e670>
0.714018048,0.9375,0.25,-0.375,0.048661878538636794,-0.013418993857946274,0.04759638277236665,<__main__.signalArr object at 0x706af0d1e580>,<__main__.signalArr object at 0x706af0d1e530>,<__main__.signalArr object at 0x706af0d1e670>
0.719158528,0.3125,0.0625,-0.25,0.048661878538636794,0.006580510231409195,0.04759638277236665,<__main__.signalArr object at 0x706af0d1e580>,<__main__.signalArr object at 0x706af0d1e530>,<__main__.signalArr object at 0x706af0d1e670>
0.74206976,0.25,0.4375,-0.5,0.048661878538636794,0.006580510231409195,0.04759638277236665,<__main__.signalArr object at 0x706af0d1e580>,<__main__.signalArr object at 0x706af0d1e530>,<__main__.signalArr object at 0x706af0d1e670>
0.757984768,-0.3125,0.5625,-0.4375,0.00866191668560945,0.006580510231409195,0.04759638277236665,<__main__.signalArr object at 0x706af0d1e580>,<__main__.signalArr object at 0x706af0d1e530>,<__main__.signalArr object at 0x706af0d1e670>
0.783439872,-0.125,0.3125,-0.4375,-0.011338064240904222,-0.013418993857946274,0.04759638277236665,<__main__.signalArr object at 0x706af0d1e580>,<__main__.signalArr object at 0x706af0d1e530>,<__main__.signalArr object at 0x706af0d1e670>
0.804269568,-0.25,0.25,-0.25,-0.011338064240904222,-0.02341922273978221,0.01759641138259614,<__main__.signalArr object at 0x706af0d1e580>,<__main__.signalArr object at 0x706af0d1e530>,<__main__.signalArr object at 0x706af0d1e670>
0.818079488,-0.4375,0.375,-0.125,-0.011338064240904222,-0.02341922273978221,-0.002403807962496618,<__main__.signalArr object at 0x706af0d1e580>,<__main__.signalArr object at 0x706af0d1e530>,<__main__.signalArr object at 0x706af0d1e670>
0.843030272,-0.875,0.3125,-0.25,-0.011338064240904222,-0.013418993857946274,-0.012403798425753454,<__main__.signalArr object at 0x706af0d1e580>,<__main__.signalArr object at 0x706af0d1e530>,<__main__.signalArr object at 0x706af0d1e670>
0.858074112,-0.8125,0.25,-0.1875,-0.011338064240904222,-0.0034197186504267424,-0.012403798425753454,<__main__.signalArr object at 0x706af0d1e580>,<__main__.signalArr object at 0x706af0d1e530>,<__main__.signalArr object at 0x706af0d1e670>
0.88227328,-0.5625,0.25,-0.125,-0.011338064240904222,-0.0034197186504267424,0.007596182500760218,<__main__.signalArr object at 0x706af0d1e580>,<__main__.signalArr object at 0x706af0d1e530>,<__main__.signalArr object at 0x706af0d1e670>
